Step,CC,CD,DC,DD
295,168,2009,0,13
296,167,2074,0,15
297,168,2013,0,14
298,173,2025,1,15
299,181,2030,1,18
300,181,2015,1,18
301,165,1992,1,16
302,175,2029,1,16
303,168,2013,1,16
304,167,2046,1,13
305,172,2053,1,12
306,172,2035,1,12
307,169,2031,1,12
308,164,2051,2,13
309,167,2056,2,13
310,168,2066,3,13
311,162,2049,4,13
312,165,2047,4,14
313,163,2071,4,10
314,155,2058,4,8
315,159,2066,2,11
316,155,2069,2,11
317,159,2045,2,12
318,157,2032,2,13
319,159,2042,2,11
320,154,2051,2,10
321,159,2041,2,12
322,150,2065,2,11
323,155,2042,2,11
324,162,2055,1,11
325,169,2048,1,11
326,168,2043,1,10
327,176,2046,1,9
328,167,2064,1,6
329,171,2044,1,5
330,169,2040,1,10
331,168,2052,0,9
332,170,2049,1,9
333,173,2036,1,8
334,176,2025,0,8
335,184,2036,0,6
336,189,2052,0,6
337,179,2041,0,5
338,178,2046,0,5
339,189,2061,0,5
340,183,2031,0,5
341,184,2045,0,6
342,177,2038,1,8
343,175,2013,1,9
344,176,2060,0,11
345,177,2059,0,11
346,167,2041,1,12
347,172,2067,1,12
348,169,2036,1,15
349,169,2048,1,15
350,175,2029,1,17
351,170,2027,0,15
352,169,2036,0,16
353,163,2052,0,15
354,170,2043,0,14
355,165,2044,0,13
356,168,2042,0,13
357,169,2035,0,13
358,173,2045,0,15
359,159,2050,0,14
360,161,2061,0,17
361,166,2034,0,18
362,165,2066,0,18
363,166,2084,0,14
364,165,2064,0,13
365,162,2074,0,13
366,173,2046,1,12
367,179,2045,1,14
368,179,2037,1,14
369,174,2049,2,13
370,180,2016,3,12
371,184,2062,3,10
372,188,2044,2,10
373,175,2020,2,10
374,188,2044,3,9
375,194,2015,3,8
376,193,2029,3,9
377,196,2030,3,10
378,193,2023,3,10
379,192,2036,4,10
380,189,2010,3,10
381,196,2055,2,9
382,193,2015,2,12
383,188,2021,3,11
384,184,2010,3,8
385,187,2011,2,8
386,192,2022,1,7
387,195,2027,0,7
388,195,2015,0,8
389,186,2026,0,8
390,199,2027,0,8
391,203,2021,0,10
392,201,2025,0,9
393,190,2026,0,9
394,195,2065,0,9
395,207,2022,0,8
396,205,2019,0,8
397,203,2028,0,7
398,205,2027,0,6
399,201,1995,0,5
400,193,2034,0,8
401,194,2040,0,11
402,196,2019,0,14
403,189,2045,0,13
404,184,2043,0,13
405,181,2045,0,13
406,174,2058,0,12
407,180,2046,0,13
408,180,2019,0,15
409,176,2024,0,14
410,179,2034,0,14
411,177,2061,0,14
412,168,2051,0,13
413,170,2047,0,12
414,171,2058,1,13
415,168,2020,1,12
416,176,2053,0,14
417,170,2044,0,14
418,173,2051,0,15
419,162,2047,0,16
420,166,2048,1,17
421,159,2062,1,18
422,163,2030,1,19
423,169,2047,1,19
424,173,2042,1,18
425,169,2058,1,15
426,166,2022,1,13
427,171,2060,0,14
428,167,2037,0,11
429,177,2033,0,10
430,172,2057,0,10
431,165,2056,0,8
432,171,2042,0,8
433,176,2047,0,10
434,174,2058,2,9
435,173,2059,4,10
436,172,2048,3,10
437,168,2050,3,9
438,173,2071,3,11
439,170,2037,3,11
440,176,2016,3,11
441,179,2032,3,11
442,184,2033,3,11
443,195,2040,3,10
444,198,2045,3,11
445,202,2019,3,11
446,195,2027,4,12
447,200,2016,4,11
448,210,2017,3,10
449,218,2017,3,11
450,217,1985,3,10
451,216,2004,2,10
452,216,1985,2,13
453,211,2019,2,13
454,213,1981,2,13
455,216,1994,2,15
456,200,1994,2,19
457,207,2015,2,20
458,204,2007,2,23
459,216,1984,3,25
460,222,1959,3,25
461,231,1973,4,26
462,235,1959,4,23
463,241,1927,4,23
464,247,1937,3,19
465,254,1972,3,19
466,251,1972,3,19
467,253,1955,2,17
468,251,1968,2,16
469,246,1970,2,15
470,242,1955,2,16
471,234,1973,2,18
472,241,1979,2,18
473,237,1976,2,18
474,234,1985,1,19
475,236,1964,1,18
476,231,1978,1,19
477,237,1991,1,22
478,231,1967,1,19
479,232,1976,1,19
480,223,1974,2,21
481,233,1986,2,21
482,236,1971,2,17
483,231,1970,2,14
484,245,1977,2,14
485,241,1962,2,16
486,256,1949,2,17
487,252,1909,2,16
488,269,1922,2,15
489,259,1952,2,15
490,259,1952,2,16
491,260,1927,3,16
492,262,1925,4,17
493,268,1946,4,16
494,261,1913,5,16
495,263,1957,5,17
496,257,1959,4,17
497,276,1954,4,16
498,284,1946,2,13
499,281,1939,1,14
500,274,1922,2,17
501,265,1942,3,18
502,275,1978,2,18
503,280,1925,2,16
504,287,1939,2,13
505,279,1939,2,15
506,301,1908,3,16
507,289,1906,3,16
508,288,1950,4,15
509,281,1935,4,15
510,294,1940,4,14
511,303,1944,3,14
512,297,1886,3,15
513,305,1905,3,16
514,295,1920,3,18
515,291,1919,3,16
516,296,1912,3,15
517,294,1924,3,15
518,299,1927,4,14
519,308,1930,4,17
520,304,1894,3,16
521,309,1945,2,15
522,308,1924,2,15
523,303,1895,3,14
524,298,1911,3,14
525,276,1906,3,13
526,276,1937,3,14
527,285,1941,3,13
528,280,1944,2,11
529,276,1929,2,12
530,285,1951,2,13
531,285,1921,2,12
532,293,1931,2,11
533,289,1926,1,13
534,294,1916,1,12
535,292,1912,1,10
536,299,1930,1,10
537,287,1931,2,8
538,299,1937,2,6
539,303,1901,2,5
540,302,1880,1,6
541,307,1913,1,6
542,302,1922,1,8
543,317,1904,1,7
544,309,1932,1,7
545,287,1909,1,8
546,311,1922,1,7
547,313,1924,0,8
548,310,1929,0,7
549,310,1914,0,7
550,312,1890,0,7
551,307,1918,1,9
552,304,1876,1,8
553,303,1920,1,8
554,297,1920,1,8
555,299,1921,1,7
556,297,1922,1,9
557,293,1922,1,9
558,296,1921,1,10
559,291,1907,2,10
560,303,1910,2,12
561,299,1890,2,14
562,306,1909,2,12
563,295,1910,2,12
564,279,1922,2,14
565,296,1929,3,12
566,294,1916,3,11
567,299,1916,2,9
568,298,1937,1,8
569,301,1925,1,8
570,291,1911,1,8
571,302,1915,1,7
572,311,1933,1,6
573,314,1927,1,8
574,312,1927,1,7
575,317,1896,3,6
576,321,1899,3,6
577,316,1889,3,6
578,322,1913,3,8
579,314,1910,4,10
580,312,1877,3,11
581,318,1912,4,14
582,317,1899,4,16
583,324,1882,4,13
584,318,1884,5,16
585,327,1883,6,15
586,321,1873,4,17
587,331,1859,4,17
588,329,1845,4,18
589,327,1861,3,19
590,323,1869,3,18
591,336,1868,3,15
592,333,1880,2,12
593,338,1896,2,10
594,337,1890,2,13
595,348,1863,2,12
596,353,1845,3,13
597,358,1846,3,13
598,349,1854,3,15
599,344,1862,3,15
600,348,1845,3,14
601,343,1847,1,11
602,357,1849,1,12
603,357,1863,1,12
604,353,1873,1,10
605,351,1880,1,9
606,350,1866,2,8
607,356,1857,1,8
608,361,1868,1,7
609,371,1825,1,8
610,388,1822,2,8
611,376,1838,2,8
612,375,1853,2,9
613,392,1855,3,8
614,390,1853,3,7
615,403,1842,4,7
616,385,1807,4,7
617,402,1834,4,9
618,399,1806,5,9
619,405,1807,5,10
620,410,1807,5,8
621,407,1795,5,8
622,397,1809,7,10
623,405,1803,7,9
624,407,1802,7,12
625,418,1793,6,14
626,422,1807,6,16
627,414,1780,7,18
628,411,1791,7,19
629,401,1799,7,20
630,398,1778,7,19
631,407,1781,7,18
632,421,1793,6,15
633,410,1757,5,16
634,423,1767,5,16
635,426,1798,4,19
636,431,1777,4,18
637,421,1778,4,19
638,420,1789,4,19
639,429,1796,4,21
640,428,1780,3,19
641,433,1770,3,18
642,419,1800,3,14
643,423,1789,3,16
644,416,1760,3,17
645,421,1776,2,17
646,409,1790,3,19
647,418,1780,3,18
